User,User Name,Tweet,Time,Following?,Follows?,Followers,Following,Location,Account Age,Website,Language,Profile Image
Stock_Tracker1,Stock_Tracker,"XLY Consumer Discretionary Select Sector SPDR % Change
dlvr.it/C3Hmfg

$XLY $NVAX $CTLE $EOG #XLY #pennystocks #stocks",Fri Sep 04 01:51:15 +0000 2015,false,false,1482,496,,"1 years, 10 months",en,Profile Page,
wallstreetscope,WallStreet Scope,"New post: Morning Stock Alert: CJ Energy Services, Ltd. (CJES), Whiting Petroleum Corp. (WLL), Masco Corporation wallstreetscope.com/morning-stock-…",Fri Sep 04 13:56:20 +0000 2015,false,false,1586,26,,http://t.co/8pWHo5BlYU,en,Profile Page,
InvestWithConf,InvestWithConf,"$NVAX is rated BUY, 56.1% upside by Wall Street analysts based on average ratings/targets manyratings.com/NVAX pic.twitter.com/QJcRZlKaeZ",Sat Sep 05 21:48:02 +0000 2015,false,false,192,0,,"1 years, 6 months",en,Profile Page,
stock_gringo,stockgringo,"$AMAG
$AVEO
$CYTR
$KERX
$NVAX
$RPTP

To present at the
FBR Second Annual Healthcare Conference
Tomorrow, Sept 9, 2015, 
in Boston.",Tue Sep 08 21:35:08 +0000 2015,false,false,579,167,,"3 years, 7 months",en,Profile Page,
1LuckyJimmy,Lucky Jimmy,"CAT Caterpillar, Inc. Stock Forum
dlvr.it/C5hzwM

$CAT $DAL $NVAX $ITEK #CAT #stocks #tradeideas",Wed Sep 09 04:34:07 +0000 2015,false,false,447,492,IH,http://t.co/b6HCTM0G2l,en,Profile Page,
IHNewsDesk,IH News Desk,"EDZ Direxion Daily Emerging Markets Bear 3x Shares Day Low
dlvr.it/C5hybj

$EDZ $NVAX $XLP $MCD #EDZ #stock #finance",Wed Sep 09 04:36:26 +0000 2015,false,false,727,502,,"1 years, 9 months",en,Profile Page,
Stock_Tracker1,Stock_Tracker,"EXPE Expedia, Inc % Change
dlvr.it/C5hyXV

$EXPE $NVAX $EBAY $QLD #EXPE #stockmarket #investing",Wed Sep 09 04:37:03 +0000 2015,false,false,1482,496,,"1 years, 10 months",en,Profile Page,
som50579,Somanath,"Stock_Tracker1 : EXPE Expedia, Inc % Change
dlvr.it/C5hyXV

$EXPE $NVAX $EBAY $Q… twitter.com/Stock_Tracker1…) pic.twitter.com/AFJyC3GoNG",Wed Sep 09 04:38:32 +0000 2015,false,false,907,354,Mumbai,"3 years, 5 months",en,Profile Page,
Stock_Tracker1,Stock_Tracker,"NBG National Bank Of Greece Chart
dlvr.it/C5j4CC

$NBG $NVAX $NVAX $CBAY #NBG #pennystocks #finance",Wed Sep 09 04:43:34 +0000 2015,false,false,1482,496,,"1 years, 10 months",en,Profile Page,
IHPosts,Investors Hangout,"AA Alcoa, Inc. Stock Message Board
dlvr.it/C5lmql

$AA $NVAX $COST $LRCX #AA #stockmarket #tradeideas",Wed Sep 09 07:30:35 +0000 2015,false,false,3159,2022,Las Vegas,http://t.co/iooOMkelYs,en,Profile Page,
Jake132013,Jake13,"CMCSK Comcast Corp. Volume
dlvr.it/C5lw9S

$CMCSK $GARS $NVAX $XLF #CMCSK #stock #nasdaq",Wed Sep 09 07:33:41 +0000 2015,false,false,701,489,,"1 years, 10 months",en,Profile Page,
stock_forums,Stock Forums,"CORN Teucrium Commodity Trust Corn Fund Bid
dlvr.it/C5lwKB

$CORN $NVAX $FXE $FCX #CORN #pennystocks #invest",Wed Sep 09 07:35:04 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
stock_forums,Stock Forums,"SPXL Direxion Daily S&amp;P 500 Bull 3X Shares Summary
dlvr.it/C5mCRk

$SPXL $NVAX $FXE $WMIH #SPXL #invest #stocks",Wed Sep 09 07:45:13 +0000 2015,false,false,4383,536,Investors Hangout,http://t.co/JkfatuqVnK,en,Profile Page,
Stock_Tracker1,Stock_Tracker,"JBLU JetBlue Airways Corp. Message Board Posts
dlvr.it/C5tZGX

$JBLU $NVAX $DDD $SCTY #JBLU #pennystocks #invest",Wed Sep 09 11:39:08 +0000 2015,false,false,1482,496,,"1 years, 10 months",en,Profile Page,
IHNewsDesk,IH News Desk,"HXD.TO Horizons BetaPro S&amp;P/TSX 60 Bear Plus 52Wk High
dlvr.it/C5xbTG

$HXD.TO $UWTI $DSCR $NVAX #HXD.TO #stock #invest",Wed Sep 09 13:39:17 +0000 2015,false,false,727,502,,"1 years, 9 months",en,Profile Page,
DennyT14,DennyT,"SUNE SunEdison, Inc. Change
dlvr.it/C5xshl

$SUNE $NTES $KBIO $NVAX #SUNE #stock #tradeideas",Wed Sep 09 13:46:35 +0000 2015,false,false,769,895,,"1 years, 8 months",en,Profile Page,
shanak10,Shoshana ,"NVAX
RSV F Vaccine Clinical Trial Data in Women of Child Bearing Age Published in the Journal of Infectious Disease

otcmarkets.com/stock/NVAX/news",Thu Sep 10 20:32:03 +0000 2015,false,false,361,381,USA,"5 years, 11 months",en,Profile Page,
i_like_bb_stock,i_like_bb_stock,$NVAX gearing for red to green,Fri Sep 11 14:21:18 +0000 2015,false,false,8554,2002,DC/ Baltimore area,http://t.co/6ameOGym1Q,en,Profile Page,
TheTrevorDyer,Trevor Dyer,"@jimcramer What are your thoughts on NVAX? If it's not a buy, can you recommend a stock in a similar price range?
Thank #MadTweets",Fri Sep 11 22:13:21 +0000 2015,false,false,66,63,Savannah GA,"2 years, 11 months",en,Profile Page,